id,death_risk,centerX,centerY
0,0.9175837053571427,0.9220371591954936,0.5583363348211667
1,0.1679590541294643,0.09465840290961122,0.3273679512457499
2,0.5203077991556677,0.4838671228941912,0.2551776197629013
3,0.3344681856229708,0.2782333004175562,0.446622569289255
4,0.10074905563186813,0.020551942949658036,0.2902579166728708
5,0.7523572198275862,0.7405766390461759,0.04043559038058245
6,0.25813783558796116,0.19393008367608466,0.4570380320072511
7,0.8750826202876985,0.8760139868450474,0.0931139090146824
8,0.620245599127435,0.5944580026351068,0.14833045108072643
9,0.19725732381082914,0.12686386777940112,0.3888388014009263
10,0.43440407553871907,0.388837191043606,0.33364544397505463
11,0.9347089778862128,0.9407977775508516,0.6395945892883379
12,0.13461939130510603,0.057930244195652944,0.2943087810270051
13,0.9010885497761775,0.9039759893198461,0.47658707401663053
14,0.30370036060025235,0.24423450406556896,0.4582907558243325
15,0.09189094039518529,0.010774142285065768,0.2902924380082558
16,0.8106227507744169,0.8050078600038844,0.0004168037217426127
17,0.6782865123588497,0.6586720276846162,0.09248758676811694
18,0.8850787031451094,0.8869043765447773,0.16949056251361128
19,0.22015681854666097,0.15204501267024167,0.43347241768657024
20,0.11176653180803571,0.03271010828054164,0.29142146267552327
21,0.27993007716286944,0.21798722715993954,0.45916311974185925
22,0.3740435200352823,0.32200787043559786,0.41294204484601416
23,0.4898516296709656,0.450142473594961,0.2972951594483952
24,0.8328973426581909,0.8295875228561769,0.009584119643884404
25,0.1872746179974268,0.11590701646919381,0.3604963680813325
26,0.6534152123235888,0.6311372364137972,0.12445612440428275
27,0.1465743197580879,0.0710985243203469,0.30674863994410057
28,0.5700343822004608,0.5388773114747892,0.20966676446343124
29,0.7847300938197544,0.7764155107537207,0.0
30,0.9468585786365328,0.9542044913275961,0.6484067874330914
31,0.7311279296875,0.7171125314466757,0.050842386657993316
32,0.9096840844365763,0.9134340803423233,0.49615315932560927
33,0.891363493619867,0.893320385862826,0.43255216545849756
34,0.1228734381603973,0.04495989408886234,0.2960102631306441
35,0.45959968986092026,0.41665924882078265,0.33238483269114244
36,0.8961234245511049,0.8989712148046828,0.2371185671152873
37,0.08212716238839286,0.0,0.28884943021379017
38,0.40483866373697913,0.3560521337389462,0.3947305324751871
39,0.9254359654017857,0.9306373151768392,0.5970276196909675
40,0.5960545131138393,0.5676639966070555,0.18490424342049275
41,0.5477066928116733,0.5141632733760191,0.2360560801226032
42,0.2363605640552662,0.16988484247525298,0.45622504104122436
43,0.9889315359933036,1.0,1.0
44,0.852183512150438,0.850883228922006,0.01198808638501378
45,0.7045898873465403,0.6877542933608803,0.0754957525832596
46,0.15762989756825208,0.0832873682548427,0.3135231811319499
47,0.17839546164407757,0.10614182786871416,0.34409150432084423
48,0.8825041118421053,0.8834324790487076,0.4830016575297111
49,0.20790106325733418,0.13856314610423281,0.41168288613726756
